GeneSymbol	Mix1	Mix2	Mix3	Mix4	Mix5
INPP5D	1465.51763524	1303.77879239	1336.654120713	1390.793362152	1224.23881403
INPP5E	426.627147052	403.296569571	430.925269885	331.488978854	340.038725324
INPP5F	384.712888802	411.354791436	363.758491402	423.88500643	392.395512072
INPP5J	129.4618543767	143.5812350009	57.248319793	104.5552619834	47.6217681801
INPP5K	598.01190894	633.421732464	583.42701907	653.072544424	652.421333346
INPPL1	678.217374299	669.506071023	675.962255933	707.37466824	729.126241367
INS	5.48700910623	6.19371011249	5.09748523854	6.39183494814	6.80464657427
INSIG1	722.451397801	802.711316149	959.782819298	882.75981271	1211.294973711
INSIG2	293.769407503	392.286003092	448.288199879	290.575675363	478.294980636
INSL3	131.6344645574	120.0510422948	112.5910795981	97.7886432734	106.2114493563
INSL4	156.5635374234	142.912804428	88.9192942394	194.786740497	156.3843191942
INSL5	84.7785937929	86.254824937	74.1362445104	94.7181795611	86.4390594309
INSL6	18.87516455529	13.44254962826	13.71372790868	21.63966796875	18.77602793822
INSM1	39.95954730256	40.00090093282	45.93626295574	70.78800371182	99.91534833534
INSR	104.8010547499	144.958764729	97.1740023524	108.2967445156	114.8504082073
INSRR	21.6541196063	22.0382475577	22.8349777415	21.8863991334	22.5463165573
INTS1	196.414687353	221.278803446	210.232317278	148.274942855	162.420123304
INTS12	560.407594826	581.921215551	458.668664278	546.112277188	502.022741866
INTS3	873.617826469	893.166205715	681.302429551	859.92623384	753.463735815
INTS5	539.889255026	541.903504592	506.106849682	489.253263538	442.933618635
INTS6	573.486442704	626.691574228	820.299897278	671.80280527	705.66130574
INTS7	140.1645900303	150.1212101323	188.1048058448	114.4661658706	135.5359040283
INTS8	1041.674722506	1207.716366782	1099.905682399	984.818745248	1055.913321746
INTS9	894.777940907	827.269974643	573.070594389	792.216742089	527.23751921
INVS	217.211082894	207.589457656	199.882065435	208.592351215	185.120330617
IP6K1	282.938464443	351.587274074	453.543299678	558.019287057	672.0161831
IP6K2	711.538067105	687.494008307	674.264445585	778.48360504	758.71565796
IPCEF1	1015.8565027679	976.2845283426	1036.6033426439	870.1063257476	966.2943766442
IPO13	551.696285194	546.68937821	381.535190047	513.881282876	426.288816796
IPO4	198.072395891	223.1925008627	168.5344594802	143.581346608	126.9002903393
IPO5	476.116468017	496.983161206	464.704468514	345.6587059942	334.029259048
IPO8	255.1432738454	257.014048222	215.5821037198	227.420071018	184.7409884612
IPO9	642.102014101	609.556594536	463.943069148	525.973284895	353.4838989
IPP	197.8625493669	194.8506970547	207.4311433068	154.488097656	132.5471960708
IPPK	179.8922798746	186.0895219816	179.5255479258	205.788526436	217.6396044112
IQCA1	138.7133335852	151.8026494776	93.6017477917	142.923331668	112.3513647995
IQCB1	534.070813276	538.069491576	421.393649958	529.08090708	434.376073816
IQCC	65.2004283513	84.3622852307	64.8871136309	50.6523338648	56.9654553587
IQCE	98.6452180677	111.077714731	143.7051125185	137.1379403998	181.648925218
IQCG	280.4640793731	309.0664084752	184.5812065401	295.1752374873	279.4848109654
IQCH	17.67477550318	15.26254656066	9.01303919065	21.37169929102	14.4925554756
IQCK	240.921983404	222.039676492	153.418163326	221.623937038	191.592509751
IQGAP1	1569.966784872	1826.822910364	2937.783785868	1914.826886884	3046.69040933
IQGAP2	770.805392655	850.437231788	1585.711717094	1148.409845767	1423.782732495
IQSEC1	690.214165555	724.164737809	684.20060949	951.44305734	1006.091250816
IQSEC2	38.7063156789	48.0076931102	53.1960123444	48.7307757975	75.3464858992
IRAK1	4313.80525048	4380.977046125	3359.711953145	5458.15894287	4361.092956945
IRAK3	52.361393112	79.2690411623	137.6474847104	100.9878758767	164.6078355397
IRAK4	365.429576558	348.93798992	366.1480739	371.534516664	371.898503601
IREB2	133.3584900269	141.8743173147	156.4063633747	109.7640852185	118.9345113245
IRF1	2539.517623742	2544.863036028	2496.1282909	2587.489323475	2709.487117023
IRF2	1004.549561762	1031.90295637	1055.544653086	1250.186866041	1564.02905864
IRF2BP1	172.73092805	181.3253140137	180.0981699401	184.1854889359	230.0780383969
IRF3	791.455551233	841.79884819	680.801125536	458.104789673	416.453619735
IRF4	981.089272861	1164.441191794	538.391675804	739.306099242	572.813267391
IRF5	254.4129084	288.000112902	343.374339205	241.914313239	405.334901034
IRF7	1030.446436684	1261.859373928	1188.396884753	1300.613491519	1662.218904493
IRF8	3462.4543123799	2892.082655789	2089.4043035884	2973.1850063244	2233.776416161
IRF9	1756.719791171	1812.77267305	1850.017189023	2072.069901606	2316.69994621
IRGC	84.7870557876	90.6632447218	50.3237305167	74.175259071	48.9155608995
IRS1	139.0858256844	122.9063059831	47.7607806335	112.514675158	38.6573232294
IRS2	1093.982104777	1317.26264277	899.697241161	3033.546493138	3123.689435382
IRS4	149.9784575898	136.6841122292	119.3424983093	159.7164232664	134.0518894173
IRX4	66.63154160238	80.40274524592	36.31987208578	75.8948089313	59.00717325462
IRX5	56.1911274589	55.3769787176	42.1417394806	72.431224888	63.4571446216
ISCA1	1178.87755152	1251.664667092	1033.662975391	1226.311304049	1254.684488869
ISCU	5749.88154569	5297.67575743	3286.80623087	5012.56231034	3514.83008827
ISG15	1535.266707749	2517.338332606	3052.599554365	2196.224687979	4834.658953957
ISG20	3896.0367980633	3818.3992874236	2276.6467911437	3241.3767054891	2692.3462756675
ISG20L2	734.792756869	676.062588275	654.282012531	683.131117747	573.069041815
ISL1	135.7773921366	131.5396864667	71.4018217371	148.3855634157	91.647061662
