gene	sample	expression
ADAM17	s5	434.3553809579
ADAM18	s1	124.8681092842
ADAM18	s2	126.7417081084
ADAM18	s3	84.579559915
ADAM18	s4	135.4181339642
ADAM18	s5	116.5710596743
ADAM19	s1	606.614309164
ADAM19	s2	569.8692180302
ADAM19	s3	259.7819062822
ADAM19	s4	664.8176166554
ADAM19	s5	443.9482243896
ADAM2	s1	39.66250549456
ADAM2	s2	27.62071210358
ADAM2	s3	27.67325751665
ADAM2	s4	45.13033827856
ADAM2	s5	37.14353702597
ADAM20	s1	208.2270895901
ADAM20	s2	189.3497286172
ADAM20	s3	137.8966779839
ADAM20	s4	227.9649747847
ADAM20	s5	167.2878618528
ADAM21	s1	388.3500167138
ADAM21	s2	338.311820583
ADAM21	s3	280.8290278518
ADAM21	s4	408.0444230118
ADAM21	s5	300.728870271
ADAM22	s1	26.503354254
ADAM22	s2	25.9386909064
ADAM22	s3	22.3245559448
ADAM22	s4	32.4018110084
ADAM22	s5	28.9066040091
ADAM23	s1	214.463098543
ADAM23	s2	204.8827783816
ADAM23	s3	149.4283294178
ADAM23	s4	210.6629982418
ADAM23	s5	168.0293737602
ADAM28	s1	599.6649853044
ADAM28	s2	507.8437872989
ADAM28	s3	101.5430563934
ADAM28	s4	605.8435735763
ADAM28	s5	200.4945466101
ADAM29	s1	42.9202740281
ADAM29	s2	44.1546136592
ADAM29	s3	31.5432132754
ADAM29	s4	58.5083751012
ADAM29	s5	50.8769171199
ADAM30	s1	158.8575253444
ADAM30	s2	155.2764746634
ADAM30	s3	113.6470133209
ADAM30	s4	160.6281966434
ADAM30	s5	126.9314056372
ADAM3A	s1	16.00318251896
ADAM3A	s2	12.68744734564
ADAM3A	s3	15.36710810458
ADAM3A	s4	20.61524032666
ADAM3A	s5	23.07902934918
