Node	Group	UpBinRatio
AP1AR	g2	0.5
AP1B1	g1	0.5
AP1B1	g2	1
AP1G1	g1	0
AP1G1	g2	1
AP1G2	g1	1
AP1G2	g2	0.5
AP1M2	g1	0.5
AP1M2	g2	1
AP1S1	g1	1
AP1S1	g2	0.5
AP1S2	g1	1
AP1S2	g2	0.6666666666666666
AP2A2	g1	0.5
AP2A2	g2	1
AP2B1	g1	1
AP2B1	g2	0.5
AP2M1	g1	0.5
AP2M1	g2	1
AP2S1	g1	0.5
AP2S1	g2	1
AP3B1	g1	1
AP3B1	g2	0.5
AP3B2	g1	1
AP3B2	g2	0.5
AP3D1	g1	1
AP3D1	g2	0.5
AP3M2	g1	1
AP3M2	g2	0.5
AP3S2	g1	1
AP3S2	g2	0.6666666666666666
AP4E1	g1	1
AP4E1	g2	0.6666666666666666
AP4M1	g1	0.5
AP4M1	g2	1
AP4S1	g1	1
AP4S1	g2	0.5
APAF1	g1	0
APAF1	g2	1
APBA1	g1	1
APBA1	g2	0.5
APBA2	g1	1
APBA2	g2	0.5
APBA3	g1	0.5
APBA3	g2	1
APBB1	g1	1
APBB1	g2	0.5
APBB1IP	g1	1
APBB1IP	g2	0.6666666666666666
APBB2	g1	0.5
APBB2	g2	1
APBB3	g1	1
APBB3	g2	0.5
APC	g1	0
APC	g2	1
APC2	g1	1
APC2	g2	0.6666666666666666
APCS	g1	1
APCS	g2	0.5
APEH	g1	1
APEH	g2	0.5
APEX1	g1	1
APEX1	g2	0.5
APEX2	g1	0.5
APEX2	g2	1
APH1A	g1	1
APH1A	g2	0.5
APH1B	g1	0.5
APH1B	g2	1
API5	g1	1
API5	g2	0.5
APITD1	g1	0.5
APITD1	g2	1
APLNR	g1	0.5
APLNR	g2	1
APLP1	g1	1
APLP1	g2	0.5
APLP2	g1	0
APLP2	g2	1
APOA1	g1	1
APOA1	g2	0.5
APOA2	g1	1
APOA2	g2	0.6666666666666666
APOA4	g1	0.5
APOA4	g2	1
APOB	g1	1
APOB	g2	0.5
APOBEC1	g1	1
